Provinces/city,Population density,Average population,Sex ratio,Population grow ratio,15+ labor,Region,Year,Labor_rate (%)
Yen Bai,115.0,792.7,99.8,1.22,512.5,Midlands and northern mountains,2015,64.65245363946008
Thai Nguyen,337.0,1190.6,96.6,3.59,725.5,Midlands and northern mountains,2015,60.935662691080125
Lang Son,91.0,757.9,100.3,0.92,508.5,Midlands and northern mountains,2015,67.09328407441615
Bac Giang,426.0,1640.9,98.7,1.01,1036.1,Midlands and northern mountains,2015,63.1421780730087
Phu Tho,388.0,1369.7,97.3,0.76,822.7,Midlands and northern mountains,2015,60.06424764546981
Dien Bien,57.0,547.8,100.0,1.81,353.2,Midlands and northern mountains,2015,64.47608616283316
Lai Chau,47.0,425.1,99.2,2.2,255.9,Midlands and northern mountains,2015,60.19760056457304
Son La,83.0,1182.4,101.2,1.8,753.1,Midlands and northern mountains,2015,63.6924898511502
Hoa Binh,179.0,824.3,98.5,0.85,555.0,Midlands and northern mountains,2015,67.32985563508431
Thanh Hoa,316.0,3514.2,98.6,0.46,2238.3,North Central and Central Coast,2015,63.6930169028513
Nghe An,186.0,3063.9,99.3,1.4,1892.0,North Central and Central Coast,2015,61.75136264238389
Ha Tinh,210.0,1261.3,96.5,0.48,745.3,North Central and Central Coast,2015,59.08982795528422
Quang Binh,108.0,872.9,100.2,0.55,520.4,North Central and Central Coast,2015,59.6173673960362
Quang Tri,131.0,619.9,97.2,0.58,349.7,North Central and Central Coast,2015,56.41232456847879
Thua Thien Hue,227.0,1140.7,98.4,0.88,636.2,North Central and Central Coast,2015,55.77277110546156
